Date,Time,Open,High,Low,Close,Volume,Brand_Name,Ticker,Industry_Tag,Country,Dividends,Stock Splits
1986-07-09,00:00:00-05:00,10.6875,11.0625,10.5625,11,1116800,costco,COST,retail,usa,0,0
1986-07-10,00:00:00-05:00,11.0625,11.125,10.6875,10.9375,595600,costco,COST,retail,usa,0,0
1986-07-11,00:00:00-05:00,10.875,10.9375,10.5625,10.5625,800400,costco,COST,retail,usa,0,0
1986-07-14,00:00:00-05:00,10.625,10.625,10.125,10.25,738000,costco,COST,retail,usa,0,0
1986-07-15,00:00:00-05:00,10.1875,10.1875,9.3125,9.9375,2059200,costco,COST,retail,usa,0,0
1986-07-16,00:00:00-05:00,9.9375,10.5,9.9375,10.125,1160400,costco,COST,retail,usa,0,0
1986-07-17,00:00:00-05:00,10.125,10.25,10,10.1875,1046000,costco,COST,retail,usa,0,0
1986-07-18,00:00:00-05:00,10.1875,10.34375,10,10.25,1420000,costco,COST,retail,usa,0,0
1986-07-21,00:00:00-05:00,10.25,10.3125,10.1875,10.25,322800,costco,COST,retail,usa,0,0
1986-07-22,00:00:00-05:00,10.25,10.28125,10.1875,10.1875,390800,costco,COST,retail,usa,0,2
1986-07-23,00:00:00-05:00,10.25,10.25,10,10.0625,1004000,costco,COST,retail,usa,0,0
1986-07-24,00:00:00-05:00,10.0625,10.125,9.8125,9.9375,1071600,costco,COST,retail,usa,0,0
1986-07-25,00:00:00-05:00,9.9375,10.125,9.875,10.0625,688400,costco,COST,retail,usa,0,0
1986-07-28,00:00:00-05:00,10.0625,10.25,9.96875,10.125,414800,costco,COST,retail,usa,0,0
1986-07-29,00:00:00-05:00,10,10.1875,10,10.1875,278400,costco,COST,retail,usa,0,0
1986-07-30,00:00:00-05:00,10.0625,10.125,9.875,10.125,459200,costco,COST,retail,usa,0,0
1986-07-31,00:00:00-05:00,10.125,10.25,10,10.0625,1213600,costco,COST,retail,usa,0,0
1986-08-01,00:00:00-05:00,10,10.125,9.75,9.75,1118000,costco,COST,retail,usa,0,0
1986-08-04,00:00:00-05:00,9.8125,9.8125,9.53125,9.75,892400,costco,COST,retail,usa,0,0
1986-08-05,00:00:00-05:00,9.75,9.75,9.5,9.5625,868800,costco,COST,retail,usa,0,0
1986-08-06,00:00:00-05:00,9.5625,9.625,9.125,9.125,550400,costco,COST,retail,usa,0,0
1986-08-07,00:00:00-05:00,9,9.0625,8.125,8.375,7560000,costco,COST,retail,usa,0,0
1986-08-08,00:00:00-05:00,8.4375,8.9375,8.375,8.875,2802000,costco,COST,retail,usa,0,0
1986-08-11,00:00:00-05:00,9,9.125,8.875,9.125,1428000,costco,COST,retail,usa,0,0
1986-08-12,00:00:00-05:00,9.125,9.4375,9.125,9.375,1155200,costco,COST,retail,usa,0,0
1986-08-13,00:00:00-05:00,9.4375,10.09375,9.375,9.6875,865600,costco,COST,retail,usa,0,0
1986-08-14,00:00:00-05:00,9.75,9.8125,9.375,9.5,762000,costco,COST,retail,usa,0,0
1986-08-15,00:00:00-05:00,9.5,9.5,9.1875,9.375,654400,costco,COST,retail,usa,0,0
1986-08-18,00:00:00-05:00,9.4375,9.875,9.25,9.6875,606800,costco,COST,retail,usa,0,0
1986-08-19,00:00:00-05:00,9.75,9.75,9.5,9.5625,2744000,costco,COST,retail,usa,0,0
1986-08-20,00:00:00-05:00,9.5625,9.5625,9.375,9.5,500000,costco,COST,retail,usa,0,0
1986-08-21,00:00:00-05:00,9.5,9.5625,9.4375,9.4375,353200,costco,COST,retail,usa,0,0
1986-08-22,00:00:00-05:00,9.5,9.5625,9.375,9.375,286000,costco,COST,retail,usa,0,0
1986-08-25,00:00:00-05:00,9.5,9.5,9.125,9.25,766400,costco,COST,retail,usa,0,0
1986-08-26,00:00:00-05:00,9.1875,9.375,9.1875,9.375,408800,costco,COST,retail,usa,0,0
1986-08-27,00:00:00-05:00,9.375,9.375,9.1875,9.3125,686400,costco,COST,retail,usa,0,0
1986-08-28,00:00:00-05:00,9.3125,9.3125,9.125,9.1875,286000,costco,COST,retail,usa,0,0
1986-08-29,00:00:00-05:00,9.125,9.25,9.0625,9.125,1128800,costco,COST,retail,usa,0,0
1986-09-02,00:00:00-05:00,9.1875,9.1875,8.6875,8.75,916800,costco,COST,retail,usa,0,0
1986-09-03,00:00:00-05:00,8.75,8.9375,8.6875,8.9375,684400,costco,COST,retail,usa,0,0
1986-09-04,00:00:00-05:00,9,9.3125,8.875,9.3125,576800,costco,COST,retail,usa,0,0
1986-09-05,00:00:00-05:00,9.3125,9.4375,9,9,961600,costco,COST,retail,usa,0,0
1986-09-08,00:00:00-05:00,9.125,9.125,8.625,8.75,1793200,costco,COST,retail,usa,0,0
1986-09-09,00:00:00-05:00,8.6875,8.75,8.5,8.625,388000,costco,COST,retail,usa,0,0
1986-09-10,00:00:00-05:00,8.625,8.625,8.5,8.5,802400,costco,COST,retail,usa,0,0
1986-09-11,00:00:00-05:00,8.5625,8.5625,7.75,7.9375,6240000,costco,COST,retail,usa,0,0
1986-09-12,00:00:00-05:00,7.875,7.9375,7.5625,7.625,2066800,costco,COST,retail,usa,0,0
1986-09-15,00:00:00-05:00,7.625,7.75,7.4375,7.625,1746800,costco,COST,retail,usa,0,0
1986-09-16,00:00:00-05:00,7.5625,7.625,7.3125,7.4375,1547200,costco,COST,retail,usa,0,0
